symbol,date,open,high,low,close,change,changePercent,label
MSFT,2019-08-12,137.07,137.86,135.24,135.79,-1.28,-0.93383,"August 12, 19"
MSFT,2019-08-09,138.61,139.38,136.46,137.71,-0.9,-0.6493,"August 09, 19"
MSFT,2019-08-08,136.6,138.99,135.93,138.89,2.29,1.68,"August 08, 19"
MSFT,2019-08-07,133.79,135.65,131.83,135.28,1.49,1.11,"August 07, 19"
MSFT,2019-08-06,133.8,135.68,133.21,134.69,0.89,0.66517,"August 06, 19"
MSFT,2019-08-05,133.3,133.93,130.78,132.21,-1.09,-0.8177,"August 05, 19"
MSFT,2019-08-02,138.09,138.32,135.26,136.9,-1.19,-0.86176,"August 02, 19"
MSFT,2019-08-01,137,140.94,136.93,138.06,1.06,0.77372,"August 01, 19"
MSFT,2019-07-31,140.33,140.49,135.08,136.27,-4.06,-2.89,"July 31, 19"
MSFT,2019-07-30,140.14,141.22,139.8,140.35,0.21,0.14985,"July 30, 19"
MSFT,2019-07-29,141.5,141.51,139.37,141.03,-0.47,-0.33216,"July 29, 19"
MSFT,2019-07-26,140.37,141.68,140.3,141.34,0.97,0.69103,"July 26, 19"
MSFT,2019-07-25,140.43,140.61,139.32,140.19,-0.24,-0.1709,"July 25, 19"
MSFT,2019-07-24,138.9,140.74,138.85,140.72,1.82,1.31,"July 24, 19"
MSFT,2019-07-23,139.76,139.99,138.03,139.29,-0.47,-0.33629,"July 23, 19"
MSFT,2019-07-22,137.41,139.19,137.33,138.43,1.02,0.7423,"July 22, 19"
MSFT,2019-07-19,140.22,140.67,136.45,136.62,-3.6,-2.57,"July 19, 19"
MSFT,2019-07-18,135.55,136.62,134.67,136.42,0.87,0.64183,"July 18, 19"
MSFT,2019-07-17,137.7,137.93,136.22,136.27,-1.43,-1.04,"July 17, 19"
MSFT,2019-07-16,138.96,139.05,136.52,137.08,-1.88,-1.35,"July 16, 19"
MSFT,2019-07-15,139.44,139.54,138.46,138.9,-0.54,-0.38726,"July 15, 19"
MSFT,2019-07-12,138.85,139.13,138.01,138.9,0.05,0.03601008,"July 12, 19"
MSFT,2019-07-11,138.2,139.22,137.87,138.4,0.2,0.14472,"July 11, 19"
MSFT,2019-07-10,137.13,138.58,137.02,137.85,0.72,0.52505,"July 10, 19"
MSFT,2019-07-09,136,136.97,135.8,136.46,0.46,0.33824,"July 09, 19"
MSFT,2019-07-08,136.4,137.1,135.37,136.96,0.56,0.41056,"July 08, 19"
MSFT,2019-07-05,135.94,137.33,135.72,137.06,1.12,0.82389,"July 05, 19"
MSFT,2019-07-03,136.8,137.74,136.29,137.46,0.66,0.48246,"July 03, 19"
MSFT,2019-07-02,136.12,136.59,135.34,136.58,0.46,0.33794,"July 02, 19"
MSFT,2019-07-01,136.63,136.7,134.97,135.68,-0.95,-0.69531,"July 01, 19"
MSFT,2019-06-28,134.57,134.6,133.16,133.96,-0.61,-0.4533,"June 28, 19"
MSFT,2019-06-27,134.14,134.71,133.51,134.15,0.01,0.0074549,"June 27, 19"
MSFT,2019-06-26,134.35,135.74,133.6,133.93,-0.42,-0.31262,"June 26, 19"
